;Neighborhood;Densidad_Poblacion;bar;bus;cafe;clothes_shop;dog_parks;gym_fitness;hospitals;luxury_shops;nightclub;parks;private_school;pub;public_transport;restaurants;school;supermarkets;Crimenes_Barrio;Avg_price;security
0;ARLETA NC;0.19617282282754397;0.0;0.11991434689507495;0.0;0.01282051282051282;0.0;0.0;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.01020408163265306;0.1714285714285714;0.18181818181818182;0.05830473735695542;0.09983584986452834;0.9416952626430446
1;ARROYO SECO NC;0.1288431143736662;0.0;0.05781584582441114;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.06060606060606061;0.015306122448979591;0.11428571428571428;0.09090909090909091;0.03162896138378647;0.21978339446597597;0.9683710386162135
2;ARTS DISTRICT LITTLE TOKYO NC;0.12341116116869992;0.2727272727272727;0.08993576017130621;0.2878787878787879;0.08974358974358974;0.0;0.1388888888888889;0.0;0.0;0.0;0.0;0.0;0.30000000000000004;0.15151515151515152;0.39795918367346933;0.02857142857142857;0.36363636363636365;0.0922627827896216;0.21978339446597597;0.9077372172103784
3;ATWATER VILLAGE NC;0.004524485676207057;0.12121212121212122;0.08779443254817988;0.10606060606060606;0.01282051282051282;0.14285714285714285;0.1388888888888889;0.0;0.0;0.0;0.23809523809523808;0.0;0.1;0.0;0.09183673469387754;0.11428571428571428;0.09090909090909091;0.05847553685387327;0.3234120644069832;0.9415244631461267
4;BEL AIR-BEVERLY CREST NC;0.004890027733842148;0.06060606060606061;0.0278372591006424;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.047619047619047616;0.0;0.0;0.0;0.01020408163265306;0.34285714285714286;0.0;0.0477617502290266;1.0;0.9522382497709734
5;BOYLE HEIGHTS NC;0.2802876352643525;0.0;0.4282655246252677;0.015151515151515152;0.01282051282051282;0.0;0.1111111111111111;0.2;0.0;0.0;0.3571428571428571;0.0;0.0;0.21212121212121213;0.1173469387755102;0.9999999999999999;0.4545454545454546;0.3196434948682515;0.051261813212200386;0.6803565051317485
6;CANOGA PARK NC;0.2815183395281739;0.09090909090909091;0.15845824411134904;0.12121212121212122;0.038461538461538464;0.0;0.08333333333333333;0.0;0.058823529411764705;0.2;0.07142857142857142;0.0;0.1;0.09090909090909091;0.17346938775510204;0.3142857142857143;0.4545454545454546;0.14715153020822014;0.09609636717935835;0.8528484697917799
7;CENTRAL ALAMEDA NC;0.44300156359812837;0.0;0.13490364025695933;0.0;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.030303030303030304;0.0;0.11428571428571428;0.0;0.07676661025107527;0.02451224126532567;0.9232333897489248
8;CENTRAL HOLLYWOOD NC;0.32851924356092943;0.33333333333333337;0.16488222698072805;0.21212121212121213;0.10256410256410256;0.0;0.1388888888888889;0.2;0.058823529411764705;0.9;0.07142857142857142;0.3333333333333333;0.1;0.09090909090909091;0.3214285714285714;0.2571428571428571;0.2727272727272727;0.22025371488905798;0.18375652008241858;0.779746285110942
9;CENTRAL SAN PEDRO NC;0.24214914683191;0.09090909090909091;0.029978586723768737;0.13636363636363635;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.16666666666666666;0.0;0.1;0.06060606060606061;0.12755102040816327;0.14285714285714285;0.2727272727272727;0.13344098877381488;0.13627746857124992;0.8665590112261852
